,Player,Year,Position,Age,Height,Weight,Draft Position,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP
Jakub Jerabek 2011,Jakub Jerabek,2011,D,19.39,71,199,-,,,,,
Jakub Jerabek 2012,Jakub Jerabek,2012,D,20.389,71,199,-,,,,,
Jakub Jerabek 2013,Jakub Jerabek,2013,D,21.391,71,199,-,,,,,
Jakub Jerabek 2014,Jakub Jerabek,2014,D,22.391,71,199,-,,,,,
Jakub Jerabek 2015,Jakub Jerabek,2015,D,23.39,71,199,-,,,,,
Jakub Jerabek 2016,Jakub Jerabek,2016,D,24.389,71,199,-,,,,,
Jakub Jerabek 2017,Jakub Jerabek,2017,D,25.392,71,199,-,,,,,
Jakub Jerabek 2018,Jakub Jerabek,2018,D,26.391,71,199,-,,,,,36.0
Jakub Jerabek 2019,Jakub Jerabek,2019,D,27.39,71,199,-,,,,36.0,1.0
Jakub Jerabek 2020,Jakub Jerabek,2020,D,28.39,71,199,-,,,36.0,1.0,
Jakub Jerabek 2021,Jakub Jerabek,2021,D,29.392,71,199,-,,36.0,1.0,,
Jakub Jerabek 2022,Jakub Jerabek,2022,D,30.391,71,199,-,36.0,1.0,,,
Jakub Jerabek 2023,Jakub Jerabek,2023,D,31.39,71,199,-,1.0,,,,
Libor Sulak 2008,Libor Sulak,2008,D,13.577,74,207,-,,,,,
Libor Sulak 2009,Libor Sulak,2009,D,14.579,74,207,-,,,,,
Libor Sulak 2010,Libor Sulak,2010,D,15.579,74,207,-,,,,,
Libor Sulak 2011,Libor Sulak,2011,D,16.578,74,207,-,,,,,
Libor Sulak 2012,Libor Sulak,2012,D,17.577,74,207,-,,,,,
Libor Sulak 2013,Libor Sulak,2013,D,18.58,74,207,-,,,,,
Libor Sulak 2014,Libor Sulak,2014,D,19.579,74,207,-,,,,,
Libor Sulak 2015,Libor Sulak,2015,D,20.578,74,207,-,,,,,
Libor Sulak 2016,Libor Sulak,2016,D,21.578,74,207,-,,,,,
Libor Sulak 2017,Libor Sulak,2017,D,22.58,74,207,-,,,,,
Libor Sulak 2018,Libor Sulak,2018,D,23.579,74,207,-,,,,,
Libor Sulak 2019,Libor Sulak,2019,D,24.578,74,207,-,,,,,6.0
Libor Sulak 2020,Libor Sulak,2020,D,25.578,74,207,-,,,,6.0,
Libor Sulak 2021,Libor Sulak,2021,D,26.58,74,207,-,,,6.0,,
Libor Sulak 2022,Libor Sulak,2022,D,27.579,74,207,-,,6.0,,,
Libor Sulak 2023,Libor Sulak,2023,D,28.578,74,207,-,6.0,,,,
Daniel Brickley 2008,Daniel Brickley,2008,D,12.507,75,203,-,,,,,
Daniel Brickley 2009,Daniel Brickley,2009,D,13.509,75,203,-,,,,,
Daniel Brickley 2010,Daniel Brickley,2010,D,14.508,75,203,-,,,,,
Daniel Brickley 2011,Daniel Brickley,2011,D,15.508,75,203,-,,,,,
Daniel Brickley 2012,Daniel Brickley,2012,D,16.507,75,203,-,,,,,
Daniel Brickley 2013,Daniel Brickley,2013,D,17.509,75,203,-,,,,,
Daniel Brickley 2014,Daniel Brickley,2014,D,18.508,75,203,-,,,,,
Daniel Brickley 2015,Daniel Brickley,2015,D,19.508,75,203,-,,,,,
Daniel Brickley 2016,Daniel Brickley,2016,D,20.507,75,203,-,,,,,
Daniel Brickley 2017,Daniel Brickley,2017,D,21.509,75,203,-,,,,,
Daniel Brickley 2018,Daniel Brickley,2018,D,22.508,75,203,-,,,,,1.0
Daniel Brickley 2019,Daniel Brickley,2019,D,23.508,75,203,-,,,,1.0,4.0
Daniel Brickley 2020,Daniel Brickley,2020,D,24.507,75,203,-,,,1.0,4.0,
Daniel Brickley 2021,Daniel Brickley,2021,D,25.509,75,203,-,,1.0,4.0,,
Daniel Brickley 2022,Daniel Brickley,2022,D,26.509,75,203,-,1.0,4.0,,,
Daniel Brickley 2023,Daniel Brickley,2023,D,27.508,75,203,-,4.0,,,,
Igor Ozhiganov 2008,Igor Ozhiganov,2008,D,14.966,74,210,-,,,,,
Igor Ozhiganov 2009,Igor Ozhiganov,2009,D,15.968,74,210,-,,,,,
Igor Ozhiganov 2010,Igor Ozhiganov,2010,D,16.967,74,210,-,,,,,
Igor Ozhiganov 2011,Igor Ozhiganov,2011,D,17.966,74,210,-,,,,,
Igor Ozhiganov 2012,Igor Ozhiganov,2012,D,18.966,74,210,-,,,,,
Igor Ozhiganov 2013,Igor Ozhiganov,2013,D,19.968,74,210,-,,,,,
Igor Ozhiganov 2014,Igor Ozhiganov,2014,D,20.967,74,210,-,,,,,
Igor Ozhiganov 2015,Igor Ozhiganov,2015,D,21.966,74,210,-,,,,,
Igor Ozhiganov 2016,Igor Ozhiganov,2016,D,22.966,74,210,-,,,,,
Igor Ozhiganov 2017,Igor Ozhiganov,2017,D,23.968,74,210,-,,,,,
Igor Ozhiganov 2018,Igor Ozhiganov,2018,D,24.967,74,210,-,,,,,
Igor Ozhiganov 2019,Igor Ozhiganov,2019,D,25.966,74,210,-,,,,,53.0
Igor Ozhiganov 2020,Igor Ozhiganov,2020,D,26.966,74,210,-,,,,53.0,
Igor Ozhiganov 2021,Igor Ozhiganov,2021,D,27.968,74,210,-,,,53.0,,
Igor Ozhiganov 2022,Igor Ozhiganov,2022,D,28.967,74,210,-,,53.0,,,
Igor Ozhiganov 2023,Igor Ozhiganov,2023,D,29.967,74,210,-,53.0,,,,
Egor Yakovlev 2008,Egor Yakovlev,2008,D,16.039,72,190,-,,,,,
Egor Yakovlev 2009,Egor Yakovlev,2009,D,17.041,72,190,-,,,,,
Egor Yakovlev 2010,Egor Yakovlev,2010,D,18.04,72,190,-,,,,,
Egor Yakovlev 2011,Egor Yakovlev,2011,D,19.04,72,190,-,,,,,
Egor Yakovlev 2012,Egor Yakovlev,2012,D,20.039,72,190,-,,,,,
Egor Yakovlev 2013,Egor Yakovlev,2013,D,21.041,72,190,-,,,,,
Egor Yakovlev 2014,Egor Yakovlev,2014,D,22.04,72,190,-,,,,,
Egor Yakovlev 2015,Egor Yakovlev,2015,D,23.04,72,190,-,,,,,
Egor Yakovlev 2016,Egor Yakovlev,2016,D,24.039,72,190,-,,,,,
Egor Yakovlev 2017,Egor Yakovlev,2017,D,25.041,72,190,-,,,,,
Egor Yakovlev 2018,Egor Yakovlev,2018,D,26.04,72,190,-,,,,,
Egor Yakovlev 2019,Egor Yakovlev,2019,D,27.04,72,190,-,,,,,25.0
Egor Yakovlev 2020,Egor Yakovlev,2020,D,28.039,72,190,-,,,,25.0,
Egor Yakovlev 2021,Egor Yakovlev,2021,D,29.041,72,190,-,,,25.0,,
Egor Yakovlev 2022,Egor Yakovlev,2022,D,30.041,72,190,-,,25.0,,,
Egor Yakovlev 2023,Egor Yakovlev,2023,D,31.04,72,190,-,25.0,,,,
Jacob Nilsson 2008,Jacob Nilsson,2008,C,13.969,70,180,-,,,,,
Jacob Nilsson 2009,Jacob Nilsson,2009,C,14.971,70,180,-,,,,,
Jacob Nilsson 2010,Jacob Nilsson,2010,C,15.97,70,180,-,,,,,
Jacob Nilsson 2011,Jacob Nilsson,2011,C,16.97,70,180,-,,,,,
Jacob Nilsson 2012,Jacob Nilsson,2012,C,17.969,70,180,-,,,,,
Jacob Nilsson 2013,Jacob Nilsson,2013,C,18.971,70,180,-,,,,,
Jacob Nilsson 2014,Jacob Nilsson,2014,C,19.97,70,180,-,,,,,
Jacob Nilsson 2015,Jacob Nilsson,2015,C,20.97,70,180,-,,,,,
Jacob Nilsson 2016,Jacob Nilsson,2016,C,21.969,70,180,-,,,,,
Jacob Nilsson 2017,Jacob Nilsson,2017,C,22.971,70,180,-,,,,,
Jacob Nilsson 2018,Jacob Nilsson,2018,C,23.971,70,180,-,,,,,
Jacob Nilsson 2019,Jacob Nilsson,2019,C,24.97,70,180,-,,,,,2.0
Jacob Nilsson 2020,Jacob Nilsson,2020,C,25.969,70,180,-,,,,2.0,
Jacob Nilsson 2021,Jacob Nilsson,2021,C,26.971,70,180,-,,,2.0,,
Jacob Nilsson 2022,Jacob Nilsson,2022,C,27.971,70,180,-,,2.0,,,
Jacob Nilsson 2023,Jacob Nilsson,2023,C,28.97,70,180,-,2.0,,,,
Bogdan Kiselevich 2008,Bogdan Kiselevich,2008,D,17.627,72,202,-,,,,,
Bogdan Kiselevich 2009,Bogdan Kiselevich,2009,D,18.629,72,202,-,,,,,
Bogdan Kiselevich 2010,Bogdan Kiselevich,2010,D,19.628,72,202,-,,,,,
Bogdan Kiselevich 2011,Bogdan Kiselevich,2011,D,20.628,72,202,-,,,,,
Bogdan Kiselevich 2012,Bogdan Kiselevich,2012,D,21.627,72,202,-,,,,,
Bogdan Kiselevich 2013,Bogdan Kiselevich,2013,D,22.629,72,202,-,,,,,
Bogdan Kiselevich 2014,Bogdan Kiselevich,2014,D,23.628,72,202,-,,,,,
Bogdan Kiselevich 2015,Bogdan Kiselevich,2015,D,24.628,72,202,-,,,,,
Bogdan Kiselevich 2016,Bogdan Kiselevich,2016,D,25.627,72,202,-,,,,,
Bogdan Kiselevich 2017,Bogdan Kiselevich,2017,D,26.629,72,202,-,,,,,
Bogdan Kiselevich 2018,Bogdan Kiselevich,2018,D,27.628,72,202,-,,,,,
Bogdan Kiselevich 2019,Bogdan Kiselevich,2019,D,28.628,72,202,-,,,,,32.0
Bogdan Kiselevich 2020,Bogdan Kiselevich,2020,D,29.627,72,202,-,,,,32.0,
Bogdan Kiselevich 2021,Bogdan Kiselevich,2021,D,30.629,72,202,-,,,32.0,,
Bogdan Kiselevich 2022,Bogdan Kiselevich,2022,D,31.629,72,202,-,,32.0,,,
Bogdan Kiselevich 2023,Bogdan Kiselevich,2023,D,32.628,72,202,-,32.0,,,,
Josh Teves 2008,Josh Teves,2008,D,12.616,72,170,-,,,,,
Josh Teves 2009,Josh Teves,2009,D,13.618,72,170,-,,,,,
Josh Teves 2010,Josh Teves,2010,D,14.618,72,170,-,,,,,
Josh Teves 2011,Josh Teves,2011,D,15.617,72,170,-,,,,,
Josh Teves 2012,Josh Teves,2012,D,16.616,72,170,-,,,,,
Josh Teves 2013,Josh Teves,2013,D,17.619,72,170,-,,,,,
Josh Teves 2014,Josh Teves,2014,D,18.618,72,170,-,,,,,
Josh Teves 2015,Josh Teves,2015,D,19.617,72,170,-,,,,,
Josh Teves 2016,Josh Teves,2016,D,20.617,72,170,-,,,,,
Josh Teves 2017,Josh Teves,2017,D,21.619,72,170,-,,,,,
Josh Teves 2018,Josh Teves,2018,D,22.618,72,170,-,,,,,
Josh Teves 2019,Josh Teves,2019,D,23.617,72,170,-,,,,,1.0
Josh Teves 2020,Josh Teves,2020,D,24.617,72,170,-,,,,1.0,
Josh Teves 2021,Josh Teves,2021,D,25.619,72,170,-,,,1.0,,
Josh Teves 2022,Josh Teves,2022,D,26.618,72,170,-,,1.0,,,
Josh Teves 2023,Josh Teves,2023,D,27.617,72,170,-,1.0,,,,
Ryan Kuffner 2008,Ryan Kuffner,2008,L,11.302,72,186,-,,,,,
Ryan Kuffner 2009,Ryan Kuffner,2009,L,12.304,72,186,-,,,,,
Ryan Kuffner 2010,Ryan Kuffner,2010,L,13.304,72,186,-,,,,,
Ryan Kuffner 2011,Ryan Kuffner,2011,L,14.303,72,186,-,,,,,
Ryan Kuffner 2012,Ryan Kuffner,2012,L,15.302,72,186,-,,,,,
Ryan Kuffner 2013,Ryan Kuffner,2013,L,16.304,72,186,-,,,,,
Ryan Kuffner 2014,Ryan Kuffner,2014,L,17.304,72,186,-,,,,,
Ryan Kuffner 2015,Ryan Kuffner,2015,L,18.303,72,186,-,,,,,
Ryan Kuffner 2016,Ryan Kuffner,2016,L,19.302,72,186,-,,,,,
Ryan Kuffner 2017,Ryan Kuffner,2017,L,20.304,72,186,-,,,,,
Ryan Kuffner 2018,Ryan Kuffner,2018,L,21.304,72,186,-,,,,,
Ryan Kuffner 2019,Ryan Kuffner,2019,L,22.303,72,186,-,,,,,10.0
Ryan Kuffner 2020,Ryan Kuffner,2020,L,23.302,72,186,-,,,,10.0,
Ryan Kuffner 2021,Ryan Kuffner,2021,L,24.305,72,186,-,,,10.0,,
Ryan Kuffner 2022,Ryan Kuffner,2022,L,25.304,72,186,-,,10.0,,,
Ryan Kuffner 2023,Ryan Kuffner,2023,L,26.303,72,186,-,10.0,,,,
Jimmy Schuldt 2008,Jimmy Schuldt,2008,D,12.392,73,203,-,,,,,
Jimmy Schuldt 2009,Jimmy Schuldt,2009,D,13.394,73,203,-,,,,,
Jimmy Schuldt 2010,Jimmy Schuldt,2010,D,14.393,73,203,-,,,,,
Jimmy Schuldt 2011,Jimmy Schuldt,2011,D,15.393,73,203,-,,,,,
Jimmy Schuldt 2012,Jimmy Schuldt,2012,D,16.392,73,203,-,,,,,
Jimmy Schuldt 2013,Jimmy Schuldt,2013,D,17.394,73,203,-,,,,,
Jimmy Schuldt 2014,Jimmy Schuldt,2014,D,18.393,73,203,-,,,,,
Jimmy Schuldt 2015,Jimmy Schuldt,2015,D,19.393,73,203,-,,,,,
Jimmy Schuldt 2016,Jimmy Schuldt,2016,D,20.392,73,203,-,,,,,
Jimmy Schuldt 2017,Jimmy Schuldt,2017,D,21.394,73,203,-,,,,,
Jimmy Schuldt 2018,Jimmy Schuldt,2018,D,22.393,73,203,-,,,,,
Jimmy Schuldt 2019,Jimmy Schuldt,2019,D,23.393,73,203,-,,,,,1.0
Jimmy Schuldt 2020,Jimmy Schuldt,2020,D,24.392,73,203,-,,,,1.0,
Jimmy Schuldt 2021,Jimmy Schuldt,2021,D,25.394,73,203,-,,,1.0,,
Jimmy Schuldt 2022,Jimmy Schuldt,2022,D,26.394,73,203,-,,1.0,,,
Jimmy Schuldt 2023,Jimmy Schuldt,2023,D,27.393,73,203,-,1.0,,,,
Jaromir Jagr 2008,Jaromir Jagr,2008,R,35.626,75,230,5,,,,,82.0
Jaromir Jagr 2009,Jaromir Jagr,2009,R,36.628,75,230,5,,,,82.0,
Jaromir Jagr 2010,Jaromir Jagr,2010,R,37.627,75,230,5,,,82.0,,
Jaromir Jagr 2011,Jaromir Jagr,2011,R,38.627,75,230,5,,82.0,,,
Jaromir Jagr 2012,Jaromir Jagr,2012,R,39.626,75,230,5,82.0,,,,73.0
Jaromir Jagr 2013,Jaromir Jagr,2013,R,40.628,75,230,5,,,,73.0,45.0
Jaromir Jagr 2014,Jaromir Jagr,2014,R,41.627,75,230,5,,,73.0,45.0,82.0
Jaromir Jagr 2015,Jaromir Jagr,2015,R,42.627,75,230,5,,73.0,45.0,82.0,77.0
Jaromir Jagr 2016,Jaromir Jagr,2016,R,43.626,75,230,5,73.0,45.0,82.0,77.0,79.0
Jaromir Jagr 2017,Jaromir Jagr,2017,R,44.628,75,230,5,45.0,82.0,77.0,79.0,82.0
Jaromir Jagr 2018,Jaromir Jagr,2018,R,45.628,75,230,5,82.0,77.0,79.0,82.0,22.0
Jaromir Jagr 2019,Jaromir Jagr,2019,R,46.627,75,230,5,77.0,79.0,82.0,22.0,
Jaromir Jagr 2020,Jaromir Jagr,2020,R,47.626,75,230,5,79.0,82.0,22.0,,
Jaromir Jagr 2021,Jaromir Jagr,2021,R,48.628,75,230,5,82.0,22.0,,,
Jaromir Jagr 2022,Jaromir Jagr,2022,R,49.628,75,230,5,22.0,,,,
Jaromir Jagr 2023,Jaromir Jagr,2023,R,50.627,75,230,5,,,,,
Jason Chimera 2008,Jason Chimera,2008,L,28.417,75,215,121,,,,,81.0
Jason Chimera 2009,Jason Chimera,2009,L,29.419,75,215,121,,,,81.0,49.0
Jason Chimera 2010,Jason Chimera,2010,L,30.418,75,215,121,,,81.0,49.0,78.0
Jason Chimera 2011,Jason Chimera,2011,L,31.418,75,215,121,,81.0,49.0,78.0,81.0
Jason Chimera 2012,Jason Chimera,2012,L,32.417,75,215,121,81.0,49.0,78.0,81.0,82.0
Jason Chimera 2013,Jason Chimera,2013,L,33.419,75,215,121,49.0,78.0,81.0,82.0,47.0
Jason Chimera 2014,Jason Chimera,2014,L,34.418,75,215,121,78.0,81.0,82.0,47.0,82.0
Jason Chimera 2015,Jason Chimera,2015,L,35.418,75,215,121,81.0,82.0,47.0,82.0,77.0
Jason Chimera 2016,Jason Chimera,2016,L,36.417,75,215,121,82.0,47.0,82.0,77.0,82.0
Jason Chimera 2017,Jason Chimera,2017,L,37.419,75,215,121,47.0,82.0,77.0,82.0,82.0
Jason Chimera 2018,Jason Chimera,2018,L,38.419,75,215,121,82.0,77.0,82.0,82.0,74.0
Jason Chimera 2019,Jason Chimera,2019,L,39.418,75,215,121,77.0,82.0,82.0,74.0,
Jason Chimera 2020,Jason Chimera,2020,L,40.417,75,215,121,82.0,82.0,74.0,,
Jason Chimera 2021,Jason Chimera,2021,L,41.419,75,215,121,82.0,74.0,,,
Jason Chimera 2022,Jason Chimera,2022,L,42.419,75,215,121,74.0,,,,
Jason Chimera 2023,Jason Chimera,2023,L,43.418,75,215,121,,,,,
Mike Fisher 2008,Mike Fisher,2008,C,27.322,73,216,44,,,,,79.0
Mike Fisher 2009,Mike Fisher,2009,C,28.324,73,216,44,,,,79.0,78.0
Mike Fisher 2010,Mike Fisher,2010,C,29.323,73,216,44,,,79.0,78.0,79.0
Mike Fisher 2011,Mike Fisher,2011,C,30.323,73,216,44,,79.0,78.0,79.0,82.0
Mike Fisher 2012,Mike Fisher,2012,C,31.322,73,216,44,79.0,78.0,79.0,82.0,72.0
Mike Fisher 2013,Mike Fisher,2013,C,32.324,73,216,44,78.0,79.0,82.0,72.0,38.0
Mike Fisher 2014,Mike Fisher,2014,C,33.323,73,216,44,79.0,82.0,72.0,38.0,75.0
Mike Fisher 2015,Mike Fisher,2015,C,34.323,73,216,44,82.0,72.0,38.0,75.0,59.0
Mike Fisher 2016,Mike Fisher,2016,C,35.322,73,216,44,72.0,38.0,75.0,59.0,70.0
Mike Fisher 2017,Mike Fisher,2017,C,36.324,73,216,44,38.0,75.0,59.0,70.0,72.0
Mike Fisher 2018,Mike Fisher,2018,C,37.323,73,216,44,75.0,59.0,70.0,72.0,16.0
Mike Fisher 2019,Mike Fisher,2019,C,38.323,73,216,44,59.0,70.0,72.0,16.0,
Mike Fisher 2020,Mike Fisher,2020,C,39.322,73,216,44,70.0,72.0,16.0,,
Mike Fisher 2021,Mike Fisher,2021,C,40.324,73,216,44,72.0,16.0,,,
Mike Fisher 2022,Mike Fisher,2022,C,41.324,73,216,44,16.0,,,,
Mike Fisher 2023,Mike Fisher,2023,C,42.323,73,216,44,,,,,
Francois Beauchemin 2008,Francois Beauchemin,2008,D,27.324,71,208,75,,,,,82.0
Francois Beauchemin 2009,Francois Beauchemin,2009,D,28.327,71,208,75,,,,82.0,20.0
Francois Beauchemin 2010,Francois Beauchemin,2010,D,29.326,71,208,75,,,82.0,20.0,82.0
Francois Beauchemin 2011,Francois Beauchemin,2011,D,30.325,71,208,75,,82.0,20.0,82.0,81.0
Francois Beauchemin 2012,Francois Beauchemin,2012,D,31.325,71,208,75,82.0,20.0,82.0,81.0,82.0
Francois Beauchemin 2013,Francois Beauchemin,2013,D,32.327,71,208,75,20.0,82.0,81.0,82.0,48.0
Francois Beauchemin 2014,Francois Beauchemin,2014,D,33.326,71,208,75,82.0,81.0,82.0,48.0,70.0
Francois Beauchemin 2015,Francois Beauchemin,2015,D,34.325,71,208,75,81.0,82.0,48.0,70.0,64.0
Francois Beauchemin 2016,Francois Beauchemin,2016,D,35.325,71,208,75,82.0,48.0,70.0,64.0,82.0
Francois Beauchemin 2017,Francois Beauchemin,2017,D,36.327,71,208,75,48.0,70.0,64.0,82.0,81.0
Francois Beauchemin 2018,Francois Beauchemin,2018,D,37.326,71,208,75,70.0,64.0,82.0,81.0,67.0
Francois Beauchemin 2019,Francois Beauchemin,2019,D,38.325,71,208,75,64.0,82.0,81.0,67.0,
Francois Beauchemin 2020,Francois Beauchemin,2020,D,39.325,71,208,75,82.0,81.0,67.0,,
Francois Beauchemin 2021,Francois Beauchemin,2021,D,40.327,71,208,75,81.0,67.0,,,
Francois Beauchemin 2022,Francois Beauchemin,2022,D,41.326,71,208,75,67.0,,,,
Francois Beauchemin 2023,Francois Beauchemin,2023,D,42.326,71,208,75,,,,,
Brian Gionta 2008,Brian Gionta,2008,R,28.702,67,178,82,,,,,82.0
Brian Gionta 2009,Brian Gionta,2009,R,29.704,67,178,82,,,,82.0,81.0
Brian Gionta 2010,Brian Gionta,2010,R,30.703,67,178,82,,,82.0,81.0,61.0
Brian Gionta 2011,Brian Gionta,2011,R,31.702,67,178,82,,82.0,81.0,61.0,82.0
Brian Gionta 2012,Brian Gionta,2012,R,32.702,67,178,82,82.0,81.0,61.0,82.0,31.0
Brian Gionta 2013,Brian Gionta,2013,R,33.704,67,178,82,81.0,61.0,82.0,31.0,48.0
Brian Gionta 2014,Brian Gionta,2014,R,34.703,67,178,82,61.0,82.0,31.0,48.0,81.0
Brian Gionta 2015,Brian Gionta,2015,R,35.703,67,178,82,82.0,31.0,48.0,81.0,69.0
Brian Gionta 2016,Brian Gionta,2016,R,36.702,67,178,82,31.0,48.0,81.0,69.0,79.0
Brian Gionta 2017,Brian Gionta,2017,R,37.704,67,178,82,48.0,81.0,69.0,79.0,82.0
Brian Gionta 2018,Brian Gionta,2018,R,38.703,67,178,82,81.0,69.0,79.0,82.0,20.0
Brian Gionta 2019,Brian Gionta,2019,R,39.703,67,178,82,69.0,79.0,82.0,20.0,
Brian Gionta 2020,Brian Gionta,2020,R,40.702,67,178,82,79.0,82.0,20.0,,
Brian Gionta 2021,Brian Gionta,2021,R,41.704,67,178,82,82.0,20.0,,,
Brian Gionta 2022,Brian Gionta,2022,R,42.703,67,178,82,20.0,,,,
Brian Gionta 2023,Brian Gionta,2023,R,43.703,67,178,82,,,,,
Daniel Sedin 2008,Daniel Sedin,2008,L,27.012,73,190,2,,,,,82.0
Daniel Sedin 2009,Daniel Sedin,2009,L,28.014,73,190,2,,,,82.0,82.0
Daniel Sedin 2010,Daniel Sedin,2010,L,29.014,73,190,2,,,82.0,82.0,63.0
Daniel Sedin 2011,Daniel Sedin,2011,L,30.013,73,190,2,,82.0,82.0,63.0,82.0
Daniel Sedin 2012,Daniel Sedin,2012,L,31.012,73,190,2,82.0,82.0,63.0,82.0,72.0
Daniel Sedin 2013,Daniel Sedin,2013,L,32.015,73,190,2,82.0,63.0,82.0,72.0,47.0
Daniel Sedin 2014,Daniel Sedin,2014,L,33.014,73,190,2,63.0,82.0,72.0,47.0,73.0
Daniel Sedin 2015,Daniel Sedin,2015,L,34.013,73,190,2,82.0,72.0,47.0,73.0,82.0
Daniel Sedin 2016,Daniel Sedin,2016,L,35.013,73,190,2,72.0,47.0,73.0,82.0,82.0
Daniel Sedin 2017,Daniel Sedin,2017,L,36.015,73,190,2,47.0,73.0,82.0,82.0,82.0
Daniel Sedin 2018,Daniel Sedin,2018,L,37.014,73,190,2,73.0,82.0,82.0,82.0,81.0
Daniel Sedin 2019,Daniel Sedin,2019,L,38.013,73,190,2,82.0,82.0,82.0,81.0,
Daniel Sedin 2020,Daniel Sedin,2020,L,39.013,73,190,2,82.0,82.0,81.0,,
Daniel Sedin 2021,Daniel Sedin,2021,L,40.015,73,190,2,82.0,81.0,,,
Daniel Sedin 2022,Daniel Sedin,2022,L,41.014,73,190,2,81.0,,,,
Daniel Sedin 2023,Daniel Sedin,2023,L,42.013,73,190,2,,,,,
Henrik Sedin 2008,Henrik Sedin,2008,C,27.012,74,183,3,,,,,82.0
Henrik Sedin 2009,Henrik Sedin,2009,C,28.014,74,183,3,,,,82.0,82.0
Henrik Sedin 2010,Henrik Sedin,2010,C,29.014,74,183,3,,,82.0,82.0,82.0
Henrik Sedin 2011,Henrik Sedin,2011,C,30.013,74,183,3,,82.0,82.0,82.0,82.0
Henrik Sedin 2012,Henrik Sedin,2012,C,31.012,74,183,3,82.0,82.0,82.0,82.0,82.0
Henrik Sedin 2013,Henrik Sedin,2013,C,32.015,74,183,3,82.0,82.0,82.0,82.0,48.0
Henrik Sedin 2014,Henrik Sedin,2014,C,33.014,74,183,3,82.0,82.0,82.0,48.0,70.0
Henrik Sedin 2015,Henrik Sedin,2015,C,34.013,74,183,3,82.0,82.0,48.0,70.0,82.0
Henrik Sedin 2016,Henrik Sedin,2016,C,35.013,74,183,3,82.0,48.0,70.0,82.0,74.0
Henrik Sedin 2017,Henrik Sedin,2017,C,36.015,74,183,3,48.0,70.0,82.0,74.0,82.0
Henrik Sedin 2018,Henrik Sedin,2018,C,37.014,74,183,3,70.0,82.0,74.0,82.0,82.0
Henrik Sedin 2019,Henrik Sedin,2019,C,38.013,74,183,3,82.0,74.0,82.0,82.0,
Henrik Sedin 2020,Henrik Sedin,2020,C,39.013,74,183,3,74.0,82.0,82.0,,
Henrik Sedin 2021,Henrik Sedin,2021,C,40.015,74,183,3,82.0,82.0,,,
Henrik Sedin 2022,Henrik Sedin,2022,C,41.014,74,183,3,82.0,,,,
Henrik Sedin 2023,Henrik Sedin,2023,C,42.013,74,183,3,,,,,
Chris Kelly 2008,Chris Kelly,2008,C,26.886,72,190,94,,,,,75.0
Chris Kelly 2009,Chris Kelly,2009,C,27.889,72,190,94,,,,75.0,82.0
Chris Kelly 2010,Chris Kelly,2010,C,28.888,72,190,94,,,75.0,82.0,81.0
Chris Kelly 2011,Chris Kelly,2011,C,29.887,72,190,94,,75.0,82.0,81.0,81.0
Chris Kelly 2012,Chris Kelly,2012,C,30.887,72,190,94,75.0,82.0,81.0,81.0,82.0
Chris Kelly 2013,Chris Kelly,2013,C,31.889,72,190,94,82.0,81.0,81.0,82.0,34.0
Chris Kelly 2014,Chris Kelly,2014,C,32.888,72,190,94,81.0,81.0,82.0,34.0,57.0
Chris Kelly 2015,Chris Kelly,2015,C,33.887,72,190,94,81.0,82.0,34.0,57.0,80.0
Chris Kelly 2016,Chris Kelly,2016,C,34.887,72,190,94,82.0,34.0,57.0,80.0,11.0
Chris Kelly 2017,Chris Kelly,2017,C,35.889,72,190,94,34.0,57.0,80.0,11.0,82.0
Chris Kelly 2018,Chris Kelly,2018,C,36.888,72,190,94,57.0,80.0,11.0,82.0,12.0
Chris Kelly 2019,Chris Kelly,2019,C,37.887,72,190,94,80.0,11.0,82.0,12.0,
Chris Kelly 2020,Chris Kelly,2020,C,38.887,72,190,94,11.0,82.0,12.0,,
Chris Kelly 2021,Chris Kelly,2021,C,39.889,72,190,94,82.0,12.0,,,
Chris Kelly 2022,Chris Kelly,2022,C,40.888,72,190,94,12.0,,,,
Chris Kelly 2023,Chris Kelly,2023,C,41.888,72,190,94,,,,,
Henrik Zetterberg 2008,Henrik Zetterberg,2008,C,26.977,72,197,210,,,,,75.0
Henrik Zetterberg 2009,Henrik Zetterberg,2009,C,27.979,72,197,210,,,,75.0,77.0
Henrik Zetterberg 2010,Henrik Zetterberg,2010,C,28.978,72,197,210,,,75.0,77.0,74.0
Henrik Zetterberg 2011,Henrik Zetterberg,2011,C,29.978,72,197,210,,75.0,77.0,74.0,80.0
Henrik Zetterberg 2012,Henrik Zetterberg,2012,C,30.977,72,197,210,75.0,77.0,74.0,80.0,82.0
Henrik Zetterberg 2013,Henrik Zetterberg,2013,C,31.979,72,197,210,77.0,74.0,80.0,82.0,46.0
Henrik Zetterberg 2014,Henrik Zetterberg,2014,C,32.978,72,197,210,74.0,80.0,82.0,46.0,45.0
Henrik Zetterberg 2015,Henrik Zetterberg,2015,C,33.978,72,197,210,80.0,82.0,46.0,45.0,77.0
Henrik Zetterberg 2016,Henrik Zetterberg,2016,C,34.977,72,197,210,82.0,46.0,45.0,77.0,82.0
Henrik Zetterberg 2017,Henrik Zetterberg,2017,C,35.979,72,197,210,46.0,45.0,77.0,82.0,82.0
